Time,Message
17.4623,-0.9
17.4732,-0.9
17.48489,-0.9
17.49764,-0.9
17.50488,-0.9
17.51644,-0.9
17.53007,-0.9
17.53878,-0.9
17.54898,-0.9
17.55792,-0.9
17.56389,-0.9
17.57032,-0.9
17.57542,-0.9
17.58024,-0.9
17.58674,-0.9
17.59339,-0.9
17.62071,-0.9
17.64218,-0.9
17.66196,-0.9
17.67908,-0.9
17.69381,-0.9
17.70631,-0.9
17.73485,-0.9
17.74132,-0.9
17.7551,-0.9
17.76203,-0.9
17.76827,-0.9
17.77535,-0.9
17.78703,-0.9
17.79488,-0.9
17.80216,-0.9
17.80967,-0.9
17.83539,-0.9
17.84427,-0.9
17.84925,-0.9
17.85874,-0.9
17.86361,-0.9
17.86871,-0.9
17.87511,-0.9
17.87931,-0.9
17.88285,-0.9
17.88865,-0.9
17.8933,-0.9
17.91506,-0.9
17.91894,-0.9
17.92649,-0.9
17.93118,-0.9
17.93763,-0.9
17.94083,-0.9
17.95155,-0.9
17.95491,-0.9
17.95912,-0.9
17.96769,-0.9
17.9712,-0.9
17.97479,-0.9
17.98109,-0.9
17.98554,-0.9
17.98954,-0.9
17.99576,-0.9
17.99968,-0.9
18.00322,-0.9
18.00767,-0.9
18.01248,-0.9
18.01762,-0.9
18.02157,-0.9
18.02876,-0.9
18.0365,-0.9
18.04103,-0.9
18.06436,-0.9
18.06869,-0.9
18.07255,-0.9
18.07913,-0.9
18.08599,-0.9
18.09329,-0.9
18.09955,-0.9
18.12329,-0.9
18.13016,-0.9
18.15241,-0.9
18.15897,-0.9
18.16641,-0.9
18.17307,-0.9
18.1796,-0.9
18.18325,-0.9
18.18977,-0.9
18.1935,-0.9
18.19786,-0.9
18.20139,-0.9
18.20488,-0.9
18.21156,-0.9
18.21798,-0.9
18.22449,-0.9
18.23143,-0.9
18.23487,-0.9
18.24159,-0.9
18.24887,-0.9
18.25493,-0.9
18.25928,-0.9
18.26674,-0.9
18.28764,-0.9
18.29144,-0.9
18.29597,-0.9
18.313,-0.9
18.31965,-0.9
18.3284,-0.9
18.33223,-0.9
18.33834,-0.9
18.34498,-0.9
18.35175,-0.9
18.35503,-0.9
18.37139,-0.9
18.39061,-0.9
18.39671,-0.9
18.40488,-0.9
18.40825,-0.9
18.41486,-0.9
18.43975,-0.9
18.44393,-0.9
18.45104,-0.9
18.4572,-0.9
18.4631,-0.9
18.46898,-0.9
18.47528,-0.9
18.49918,-0.9
18.50504,-0.9
18.51116,-0.9
18.51678,-0.9
18.5222,-0.9
18.52842,-0.9
18.53399,-0.9
18.5372,-0.9
18.54332,-0.9
18.5494,-0.9
18.55537,-0.9
18.56224,-0.9
18.56557,-0.9
18.56941,-0.9
18.576,-0.9
18.59816,-0.9
18.60832,-0.9
18.61389,-0.9
18.6219,-0.9
18.62864,-0.9
18.63605,-0.9
18.6428,-0.9
18.65008,-0.9
18.6569,-0.9
18.66449,-0.9
18.67332,-0.9
18.6944,-0.9
18.69772,-0.9
18.70181,-0.9
18.70932,-0.9
18.7171,-0.9
18.72418,-0.9
18.72776,-0.9
18.73201,-0.9
18.75634,-0.9
18.76069,-0.9
18.78301,-0.9
18.79198,-0.9
18.81676,-0.9
18.82033,-0.9
18.82728,-0.9
18.83082,-0.9
18.85461,-0.9
18.85811,-0.9
18.86217,-0.9
18.86937,-0.9
18.87323,-0.9
18.8817,-0.9
18.90694,-0.9
18.91343,-0.9
18.91944,-0.9
18.92637,-0.9
18.93076,-0.9
18.93471,-0.9
18.94224,-0.9
18.94872,-0.9
18.95503,-0.9
18.96038,-0.9
18.96693,-0.9
18.99004,-0.9
18.99438,-0.9
18.99804,-0.9
19.00299,-0.9
19.0106,-0.9
19.01623,-0.9
19.04041,-0.9
19.04483,-0.9
19.05008,-0.9
19.07523,-0.9
19.08253,-0.9
19.08661,-0.9
19.09365,-0.9
19.09829,-0.9
19.12231,-0.9
19.13045,-0.9
19.13834,-0.9
19.14291,-0.9
19.14936,-0.9
19.15529,-0.9
19.1599,-0.9
19.16347,-0.9
19.17084,-0.9
19.17785,-0.9
19.18188,-0.9
19.1862,-0.9
19.19439,-0.9
19.19851,-0.9
19.22531,-0.9
19.23726,-0.9
19.24606,-0.9
19.25288,-0.9
19.26376,-0.9
19.29397,-0.9
19.31285,-0.9
19.32306,-0.9
19.33482,-0.9
19.35729,-0.9
19.3634,-0.9
19.39541,-0.9
19.40309,-0.9
19.41179,-0.9
19.43008,-0.9
19.44443,-0.9
19.45116,-0.9
19.45992,-0.9
19.46598,-0.9
19.48168,-0.9
19.49219,-0.9
19.50258,-0.9
19.50932,-0.9
19.53096,-0.9
19.55109,-0.9
19.55652,-0.9
19.56151,-0.9
19.56746,-0.9
19.57425,-0.9
19.5794,-0.9
19.58453,-0.9
19.58966,-0.9
19.59344,-0.9
19.59703,-0.9
19.60373,-0.9
19.6112,-0.9
19.63727,-0.9
19.64306,-0.9
19.64904,-0.9
19.65554,-0.9
19.65921,-0.9
19.66505,-0.9
19.68917,-0.9
19.69515,-0.9
19.70089,-0.9
19.70487,-0.9
19.71089,-0.9
19.71714,-0.9
19.74106,-0.9
19.748,-0.9
19.75394,-0.9
19.75718,-0.9
19.76364,-0.9
19.76747,-0.9
19.77342,-0.9
19.77713,-0.9
19.78217,-0.9
19.78609,-0.9
19.79272,-0.9
19.79755,-0.9
19.80081,-0.9
19.80732,-0.9
19.81378,-0.9
19.81773,-0.9
19.82088,-0.9
19.82623,-0.9
19.83029,-0.9
19.83408,-0.9
19.84067,-0.9
19.84836,-0.9
19.85538,-0.9
19.86101,-0.9
19.86524,-0.9
19.87008,-0.9
19.87675,-0.9
19.88078,-0.9
19.90842,-0.9
19.91525,-0.9
19.94296,-0.9
19.94721,-0.9
19.95339,-0.9
19.95822,-0.9
19.96556,-0.9
19.971,-0.9
19.99976,-0.9
20.01466,-0.9
20.03334,-0.9
20.0427,-0.9
20.05189,-0.9
20.07539,-0.9
20.08207,-0.9
20.10465,-0.9
20.1085,-0.9
20.1134,-0.9
20.11769,-0.9
20.12217,-0.9
20.12677,-0.9
20.13393,-0.9
20.14089,-0.9
20.15112,-0.9
20.1547,-0.9
20.16176,-0.9
20.18426,-0.9
20.19118,-0.9
20.19514,-0.9
20.20273,-0.9
20.22653,-0.9
20.24993,-0.9
20.2596,-0.9
20.28786,-0.9
20.29176,-0.9
20.29594,-0.9
20.3008,-0.9
20.30644,-0.9
20.31334,-0.9
20.31869,-0.9
20.34276,-0.9
20.3539,-0.9
20.38763,-0.9
20.39572,-0.9
20.40484,-0.9
20.41075,-0.9
20.42334,-0.9
20.43545,-0.9
20.44884,-0.9
20.46203,-0.9
20.51263,-0.9
20.58706,-0.9
20.60987,-0.9
20.61733,-0.9
